StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
030064,162000,9,163570,1.03,1.03,0.99,0.99,0.0,2023-03-20
030065,337000,4,239110,0.73,0.73,0.7,0.7,0.07,2023-03-20
030066,135000,11,119930,0.84,0.92,0.84,0.9,0.0,2023-03-20
030067,191000,2,223060,1.17,1.17,1.16,1.16,0.05,2023-03-20
030068,198000,6,247900,1.25,1.26,1.25,1.26,0.02,2023-03-20
030069,53000,7,36930,0.65,0.71,0.65,0.68,0.02,2023-03-20
03006U,46000,4,26590,0.58,0.58,0.56,0.56,-0.03,2023-03-20
03006X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030070,1021000,22,212670,0.2,0.22,0.2,0.22,0.04,2023-03-20
030071,60000,2,28300,0.47,0.48,0.47,0.48,0.0,2023-03-20
030072,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030073,170000,3,98600,0.58,0.58,0.58,0.58,0.05,2023-03-20
030074,45000,2,22050,0.49,0.49,0.49,0.49,-0.02,2023-03-20
030075,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030076,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030077,206000,5,119880,0.58,0.6,0.58,0.6,0.0,2023-03-20
030078,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030079,476000,13,335940,0.7,0.71,0.68,0.71,0.03,2023-03-20
03007U,30000,1,25800,0.86,0.86,0.86,0.86,0.01,2023-03-20
03007X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030080,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030081,100000,1,195000,1.95,1.95,1.95,1.95,0.15,2023-03-20
030082,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030083,1000,1,450,0.45,0.45,0.45,0.45,0.03,2023-03-20
030084,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030085,974000,40,613960,0.66,0.66,0.62,0.62,-0.1,2023-03-20
030086,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030087,72000,14,197260,2.62,2.89,2.54,2.84,0.97,2023-03-20
030088,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030089,154000,4,80060,0.49,0.54,0.49,0.53,0.07,2023-03-20
03008U,29000,2,22240,0.76,0.78,0.76,0.78,0.0,2023-03-20
030090,3118000,46,1627620,0.4,0.73,0.4,0.73,0.36,2023-03-20
030091,94000,2,51700,0.55,0.55,0.55,0.55,0.0,2023-03-20
030092,250000,3,202500,0.81,0.85,0.79,0.85,-0.01,2023-03-20
030093,415000,11,99980,0.24,0.25,0.23,0.24,0.0,2023-03-20
030094,499000,21,542310,0.9,1.13,0.9,1.12,0.3,2023-03-20
030095,499000,3,84830,0.17,0.17,0.17,0.17,0.0,2023-03-20
030096,809000,4,150610,0.18,0.19,0.18,0.19,0.0,2023-03-20
030097,15000,2,5650,0.37,0.38,0.37,0.38,0.01,2023-03-20
030098,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030099,29000,2,5030,0.18,0.18,0.17,0.17,-0.01,2023-03-20
03009U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030100,476000,6,665440,1.38,1.43,1.34,1.34,-0.29,2023-03-20
030101,62000,1,85560,1.38,1.38,1.38,1.38,0.0,2023-03-20
030102,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030103,94000,15,171270,1.74,1.89,1.74,1.82,0.1,2023-03-20
030104,283000,24,296140,1.11,1.11,1.01,1.02,-0.06,2023-03-20
030105,34000,7,34390,1.03,1.03,0.96,0.96,-0.07,2023-03-20
030106,49000,8,203100,3.94,4.28,3.94,4.12,0.08,2023-03-20
030107,25000,1,6000,0.24,0.24,0.24,0.24,-0.02,2023-03-20
030108,20000,2,25200,1.26,1.26,1.26,1.26,0.07,2023-03-20
030109,260000,7,72030,0.25,0.29,0.25,0.29,0.05,2023-03-20
03010U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
03010X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030110,263000,15,366810,1.41,1.43,1.37,1.37,-0.02,2023-03-20
030111,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030112,36000,11,23970,0.71,0.71,0.6,0.71,0.0,2023-03-20
030113,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030114,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030115,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030116,19000,2,13280,0.7,0.7,0.68,0.68,-0.03,2023-03-20
030117,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030118,50000,5,45350,0.92,0.93,0.89,0.89,-0.15,2023-03-20
030119,475000,5,177650,0.36,0.38,0.36,0.38,0.03,2023-03-20
03011U,40000,2,15400,0.38,0.39,0.38,0.39,-0.02,2023-03-20
030120,72000,6,208950,2.95,2.95,2.8,2.85,-0.05,2023-03-20
030121,33000,4,30860,0.87,0.97,0.87,0.97,0.09,2023-03-20
030122,238000,2,83300,0.35,0.35,0.35,0.35,0.0,2023-03-20
030123,10000,1,2900,0.29,0.29,0.29,0.29,0.0,2023-03-20
030124,832000,37,905390,1.03,1.16,0.99,1.12,0.04,2023-03-20
030125,226000,33,584440,2.54,2.67,2.24,2.24,-0.11,2023-03-20
030126,250000,36,456970,1.84,1.92,1.61,1.67,-0.07,2023-03-20
030127,1000,1,1660,1.66,1.66,1.66,1.66,0.01,2023-03-20
